日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2014-06-26,1.0,1.0,%,场内买入,场内卖出
2014-06-27,1.0013,1.0013,0.13%,场内买入,场内卖出
2014-06-30,1.0035,1.0035,0.22%,场内买入,场内卖出
2014-07-04,1.0054,1.0054,%,场内买入,场内卖出
2014-07-11,1.0049,1.0049,%,场内买入,场内卖出
2014-07-14,1.0071,1.0071,0.22%,场内买入,场内卖出
2014-07-15,1.0066,1.0066,-0.05%,场内买入,场内卖出
2014-07-16,1.0055,1.0055,-0.11%,场内买入,场内卖出
2014-07-17,1.0053,1.0053,-0.02%,场内买入,场内卖出
2014-07-18,1.0105,1.0105,0.52%,场内买入,场内卖出
2014-07-21,1.0076,1.0076,-0.29%,场内买入,场内卖出
2014-07-22,1.023,1.023,1.53%,场内买入,场内卖出
2014-07-23,1.0364,1.0364,1.31%,场内买入,场内卖出
2014-07-24,1.0654,1.0654,2.80%,场内买入,场内卖出
2014-07-25,1.0759,1.0759,0.99%,场内买入,场内卖出
2014-07-28,1.1154,1.1154,3.67%,场内买入,场内卖出
2014-07-29,1.1144,1.1144,-0.09%,场内买入,场内卖出
2014-07-30,1.1134,1.1134,-0.09%,场内买入,场内卖出
2014-07-31,1.1279,1.1279,1.30%,场内买入,场内卖出
2014-08-01,1.1053,1.1053,-2.00%,场内买入,场内卖出
2014-08-04,1.1451,1.1451,3.60%,场内买入,场内卖出
2014-08-05,1.1361,1.1361,-0.79%,场内买入,场内卖出
2014-08-06,1.1302,1.1302,-0.52%,场内买入,场内卖出
2014-08-07,1.1073,1.1073,-2.03%,场内买入,场内卖出
2014-08-08,1.1056,1.1056,-0.15%,场内买入,场内卖出
2014-08-11,1.1257,1.1257,1.82%,场内买入,场内卖出
2014-08-12,1.1178,1.1178,-0.70%,场内买入,场内卖出
2014-08-13,1.1293,1.1293,1.03%,场内买入,场内卖出
2014-08-14,1.1132,1.1132,-1.43%,场内买入,场内卖出
2014-08-15,1.1376,1.1376,2.19%,场内买入,场内卖出
2014-08-18,1.1375,1.1375,-0.01%,场内买入,场内卖出
2014-08-19,1.1285,1.1285,-0.79%,场内买入,场内卖出
2014-08-20,1.1212,1.1212,-0.65%,场内买入,场内卖出
2014-08-21,1.1093,1.1093,-1.06%,场内买入,场内卖出
2014-08-22,1.1162,1.1162,0.62%,场内买入,场内卖出
2014-08-25,1.0989,1.0989,-1.55%,场内买入,场内卖出
2014-08-26,1.092,1.092,-0.63%,场内买入,场内卖出
