日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2012-08-09,1.0,1.0,%,场内买入,场内卖出
2012-08-10,1.0001,1.0001,0.01%,场内买入,场内卖出
2012-08-17,1.0003,1.0003,0.02%,场内买入,场内卖出
2012-08-24,1.0008,1.0008,0.05%,场内买入,场内卖出
2012-08-31,1.0013,1.0013,0.05%,场内买入,场内卖出
2012-09-07,1.0018,1.0018,0.05%,场内买入,场内卖出
2012-09-14,1.0021,1.0021,0.03%,场内买入,场内卖出
2012-09-21,1.0027,1.0027,0.06%,场内买入,场内卖出
2012-09-28,1.0032,1.0032,0.05%,场内买入,场内卖出
2012-10-12,1.0077,1.0077,0.45%,场内买入,场内卖出
2012-10-15,1.0061,1.0061,-0.16%,场内买入,场内卖出
2012-10-16,1.0058,1.0058,-0.03%,场内买入,场内卖出
2012-10-17,1.0077,1.0077,0.19%,场内买入,场内卖出
2012-10-18,1.0132,1.0132,0.55%,场内买入,场内卖出
2012-10-19,1.0157,1.0157,0.25%,场内买入,场内卖出
2012-10-22,1.0199,1.0199,0.41%,场内买入,场内卖出
2012-10-24,1.0128,1.0128,-0.70%,场内买入,场内卖出
2012-10-25,1.0109,1.0109,-0.19%,场内买入,场内卖出
2012-10-26,0.9961,0.9961,-1.46%,场内买入,场内卖出
2012-10-29,1.0044,1.0044,0.83%,场内买入,场内卖出
2012-10-30,0.9968,0.9968,-0.76%,场内买入,场内卖出
2012-10-31,1.0068,1.0068,1.00%,场内买入,场内卖出
2012-11-01,1.018,1.018,1.11%,场内买入,场内卖出
2012-11-02,1.0271,1.0271,0.89%,场内买入,场内卖出
2012-11-05,1.0176,1.0176,-0.92%,场内买入,场内卖出
2012-11-06,1.0117,1.0117,-0.58%,场内买入,场内卖出
2012-11-07,1.0174,1.0174,0.56%,场内买入,场内卖出
2012-11-08,0.9902,0.9902,-2.67%,场内买入,场内卖出
2012-11-12,0.98,0.98,-1.03%,场内买入,场内卖出
2012-11-13,0.9601,0.9601,-2.03%,场内买入,场内卖出
2012-11-14,0.976,0.976,1.66%,场内买入,场内卖出
2012-11-15,0.9575,0.9575,-1.90%,场内买入,场内卖出
2012-11-16,0.9619,0.9619,0.46%,场内买入,场内卖出
2012-11-19,0.9666,0.9666,0.49%,场内买入,场内卖出
2012-11-20,0.9601,0.9601,-0.67%,场内买入,场内卖出
2012-11-21,0.9756,0.9756,1.61%,场内买入,场内卖出
2012-11-22,0.9844,0.9844,0.90%,场内买入,场内卖出
2012-11-23,0.9948,0.9948,1.06%,场内买入,场内卖出
2012-11-26,0.991,0.991,-0.38%,场内买入,场内卖出
2012-11-27,0.9868,0.9868,-0.42%,场内买入,场内卖出
2012-11-28,0.976,0.976,-1.09%,场内买入,场内卖出
2012-11-29,0.9809,0.9809,0.50%,场内买入,场内卖出
2012-11-30,0.9929,0.9929,1.22%,场内买入,场内卖出
2012-12-03,0.978,0.978,-1.50%,场内买入,场内卖出
2012-12-04,0.973,0.973,-0.51%,场内买入,场内卖出
2012-12-05,1.0112,1.0112,3.93%,场内买入,场内卖出
2012-12-06,1.0149,1.0149,0.37%,场内买入,场内卖出
2012-12-07,1.0202,1.0202,0.52%,场内买入,场内卖出
2012-12-10,1.0269,1.0269,0.66%,场内买入,场内卖出
2012-12-11,1.0264,1.0264,-0.05%,场内买入,场内卖出
2012-12-12,1.0415,1.0415,1.47%,场内买入,场内卖出
2012-12-13,1.0399,1.0399,-0.15%,场内买入,场内卖出
2012-12-14,1.0553,1.0553,1.48%,场内买入,场内卖出
2012-12-17,1.0532,1.0532,-0.20%,场内买入,场内卖出
2012-12-18,1.053,1.053,-0.02%,场内买入,场内卖出
2012-12-19,1.06,1.06,0.66%,场内买入,场内卖出
2012-12-20,1.0564,1.0564,-0.34%,场内买入,场内卖出
2012-12-21,1.0446,1.0446,-1.12%,场内买入,场内卖出
2012-12-24,1.0489,1.0489,0.41%,场内买入,场内卖出
2012-12-27,1.0553,1.0553,0.61%,场内买入,场内卖出
2012-12-28,1.0564,1.0564,0.10%,场内买入,场内卖出
2012-12-31,1.0609,1.0609,0.43%,场内买入,场内卖出
2013-01-04,1.1071,1.1071,4.35%,场内买入,场内卖出
2013-01-07,1.1098,1.1098,0.24%,场内买入,场内卖出
2013-01-08,1.0848,1.0848,-2.25%,场内买入,场内卖出
2013-01-09,1.0943,1.0943,0.88%,场内买入,场内卖出
2013-01-10,1.103,1.103,0.80%,场内买入,场内卖出
2013-01-11,1.0935,1.0935,-0.86%,场内买入,场内卖出
2013-01-14,1.1066,1.1066,1.20%,场内买入,场内卖出
2013-01-15,1.1061,1.1061,-0.05%,场内买入,场内卖出
2013-01-16,1.0979,1.0979,-0.74%,场内买入,场内卖出
2013-01-17,1.0934,1.0934,-0.41%,场内买入,场内卖出
2013-01-18,1.1153,1.1153,2.00%,场内买入,场内卖出
2013-01-21,1.1175,1.1175,0.20%,场内买入,场内卖出
2013-01-22,1.1235,1.1235,0.54%,场内买入,场内卖出
2013-01-23,1.1198,1.1198,-0.33%,场内买入,场内卖出
2013-01-24,1.1138,1.1138,-0.54%,场内买入,场内卖出
2013-01-25,1.1051,1.1051,-0.78%,场内买入,场内卖出
2013-01-28,1.114,1.114,0.81%,场内买入,场内卖出
2013-01-29,1.1118,1.1118,-0.20%,场内买入,场内卖出
2013-01-30,1.1188,1.1188,0.63%,场内买入,场内卖出
2013-01-31,1.1149,1.1149,-0.35%,场内买入,场内卖出
2013-02-01,1.1234,1.1234,0.76%,场内买入,场内卖出
2013-02-04,1.1184,1.1184,-0.45%,场内买入,场内卖出
2013-02-05,1.0868,1.0868,-2.83%,场内买入,场内卖出
2013-02-06,1.0905,1.0905,0.34%,场内买入,场内卖出
2013-02-07,1.0748,1.0748,-1.44%,场内买入,场内卖出
2013-02-08,1.0698,1.0698,-0.47%,场内买入,场内卖出
2013-02-18,1.0778,1.0778,0.75%,场内买入,场内卖出
2013-02-19,1.059,1.059,-1.74%,场内买入,场内卖出
2013-02-20,1.0729,1.0729,1.31%,场内买入,场内卖出
2013-02-21,1.0503,1.0503,-2.11%,场内买入,场内卖出
2013-02-22,1.0405,1.0405,-0.93%,场内买入,场内卖出
2013-02-25,1.0421,1.0421,0.15%,场内买入,场内卖出
2013-02-26,1.0207,1.0207,-2.05%,场内买入,场内卖出
2013-02-27,1.0231,1.0231,0.24%,场内买入,场内卖出
2013-02-28,1.0488,1.0488,2.51%,场内买入,场内卖出
2013-03-01,1.0407,1.0407,-0.77%,场内买入,场内卖出
2013-03-04,1.0195,1.0195,-2.04%,场内买入,场内卖出
2013-03-05,1.0248,1.0248,0.52%,场内买入,场内卖出
2013-03-06,1.0409,1.0409,1.57%,场内买入,场内卖出
2013-03-07,1.0372,1.0372,-0.36%,场内买入,场内卖出
2013-03-08,1.0515,1.0515,1.38%,场内买入,场内卖出
2013-03-11,1.048,1.048,-0.33%,场内买入,场内卖出
2013-03-12,1.0346,1.0346,-1.28%,场内买入,场内卖出
2013-03-13,1.0114,1.0114,-2.24%,场内买入,场内卖出
2013-03-14,1.0174,1.0174,0.59%,场内买入,场内卖出
2013-03-15,1.0097,1.0097,-0.76%,场内买入,场内卖出
2013-03-18,0.9893,0.9893,-2.02%,场内买入,场内卖出
2013-03-19,0.9845,0.9845,-0.49%,场内买入,场内卖出
2013-03-20,1.0052,1.0052,2.10%,场内买入,场内卖出
2013-03-21,1.0023,1.0023,-0.29%,场内买入,场内卖出
2013-03-22,0.9975,0.9975,-0.48%,场内买入,场内卖出
2013-03-25,1.0045,1.0045,0.70%,场内买入,场内卖出
2013-03-26,1.0,1.0,-0.45%,场内买入,场内卖出
2013-03-27,1.0102,1.0102,1.02%,场内买入,场内卖出
2013-03-28,0.9976,0.9976,-1.25%,场内买入,场内卖出
2013-04-02,0.9874,0.9874,-1.02%,场内买入,场内卖出
2013-04-03,0.9831,0.9831,-0.44%,场内买入,场内卖出
2013-04-08,0.9539,0.9539,-2.97%,场内买入,场内卖出
2013-04-09,0.97,0.97,1.69%,场内买入,场内卖出
2013-04-10,0.9762,0.9762,0.64%,场内买入,场内卖出
2013-04-11,0.9779,0.9779,0.17%,场内买入,场内卖出
2013-04-12,0.9724,0.9724,-0.56%,场内买入,场内卖出
2013-04-15,0.9523,0.9523,-2.07%,场内买入,场内卖出
2013-04-16,0.9499,0.9499,-0.25%,场内买入,场内卖出
2013-04-17,0.9378,0.9378,-1.27%,场内买入,场内卖出
2013-04-18,0.9357,0.9357,-0.22%,场内买入,场内卖出
2013-04-19,0.9638,0.9638,3.00%,场内买入,场内卖出
2013-04-22,0.9643,0.9643,0.05%,场内买入,场内卖出
2013-04-23,0.9487,0.9487,-1.62%,场内买入,场内卖出
2013-04-24,0.9677,0.9677,2.00%,场内买入,场内卖出
2013-04-25,0.9787,0.9787,1.14%,场内买入,场内卖出
2013-04-26,0.9826,0.9826,0.40%,场内买入,场内卖出
2013-05-02,0.9802,0.9802,-0.24%,场内买入,场内卖出
2013-05-03,0.9831,0.9831,0.30%,场内买入,场内卖出
2013-05-06,0.9964,0.9964,1.35%,场内买入,场内卖出
2013-05-07,1.0058,1.0058,0.94%,场内买入,场内卖出
2013-05-08,1.019,1.019,1.31%,场内买入,场内卖出
2013-05-09,1.0167,1.0167,-0.23%,场内买入,场内卖出
2013-05-10,1.0253,1.0253,0.85%,场内买入,场内卖出
2013-05-13,1.0048,1.0048,-2.00%,场内买入,场内卖出
2013-05-14,0.9979,0.9979,-0.69%,场内买入,场内卖出
2013-05-15,1.0032,1.0032,0.53%,场内买入,场内卖出
2013-05-16,0.9979,0.9979,-0.53%,场内买入,场内卖出
2013-05-20,1.011,1.011,1.31%,场内买入,场内卖出
2013-05-21,1.0005,1.0005,-1.04%,场内买入,场内卖出
2013-05-22,0.9981,0.9981,-0.24%,场内买入,场内卖出
2013-05-23,0.9722,0.9722,-2.59%,场内买入,场内卖出
2013-05-24,0.9682,0.9682,-0.41%,场内买入,场内卖出
2013-05-27,0.9692,0.9692,0.10%,场内买入,场内卖出
2013-05-28,0.9843,0.9843,1.56%,场内买入,场内卖出
2013-05-29,0.9711,0.9711,-1.34%,场内买入,场内卖出
2013-05-30,0.9658,0.9658,-0.55%,场内买入,场内卖出
2013-05-31,0.9574,0.9574,-0.87%,场内买入,场内卖出
2013-06-03,0.953,0.953,-0.46%,场内买入,场内卖出
2013-06-04,0.9529,0.9529,-0.01%,场内买入,场内卖出
2013-06-05,0.9476,0.9476,-0.56%,场内买入,场内卖出
2013-06-06,0.9378,0.9378,-1.03%,场内买入,场内卖出
2013-06-07,0.9264,0.9264,-1.22%,场内买入,场内卖出
2013-06-13,0.8889,0.8889,-4.05%,场内买入,场内卖出
2013-06-14,0.8869,0.8869,-0.23%,场内买入,场内卖出
2013-06-17,0.8987,0.8987,1.33%,场内买入,场内卖出
2013-06-18,0.8989,0.8989,0.02%,场内买入,场内卖出
2013-06-19,0.8864,0.8864,-1.39%,场内买入,场内卖出
2013-06-20,0.86,0.86,-2.98%,场内买入,场内卖出
2013-06-21,0.8587,0.8587,-0.15%,场内买入,场内卖出
2013-06-24,0.8324,0.8324,-3.06%,场内买入,场内卖出
2013-06-25,0.8259,0.8259,-0.78%,场内买入,场内卖出
2013-06-26,0.8524,0.8524,3.21%,场内买入,场内卖出
2013-06-27,0.8537,0.8537,0.15%,场内买入,场内卖出
2013-06-28,0.8683,0.8683,1.71%,场内买入,场内卖出
2013-06-30,0.8683,0.8683,0.00%,场内买入,场内卖出
2013-07-02,0.8585,0.8585,-1.13%,场内买入,场内卖出
2013-07-03,0.8323,0.8323,-3.05%,场内买入,场内卖出
2013-07-04,0.8427,0.8427,1.25%,场内买入,场内卖出
2013-07-05,0.8598,0.8598,2.03%,场内买入,场内卖出
2013-07-08,0.8468,0.8468,-1.51%,场内买入,场内卖出
2013-07-09,0.8446,0.8446,-0.26%,场内买入,场内卖出
2013-07-10,0.8581,0.8581,1.60%,场内买入,场内卖出
2013-07-11,0.8874,0.8874,3.41%,场内买入,场内卖出
2013-07-12,0.8773,0.8773,-1.14%,场内买入,场内卖出
2013-07-15,0.8785,0.8785,0.14%,场内买入,场内卖出
2013-07-16,0.8765,0.8765,-0.23%,场内买入,场内卖出
2013-07-17,0.8815,0.8815,0.57%,场内买入,场内卖出
2013-07-18,0.8835,0.8835,0.23%,场内买入,场内卖出
2013-07-19,0.8799,0.8799,-0.41%,场内买入,场内卖出
2013-07-22,0.8765,0.8765,-0.39%,场内买入,场内卖出
2013-07-23,0.9088,0.9088,3.69%,场内买入,场内卖出
2013-07-24,0.9085,0.9085,-0.03%,场内买入,场内卖出
2013-07-25,0.9073,0.9073,-0.13%,场内买入,场内卖出
2013-07-26,0.907,0.907,-0.03%,场内买入,场内卖出
2013-07-29,0.8965,0.8965,-1.16%,场内买入,场内卖出
2013-07-30,0.8999,0.8999,0.38%,场内买入,场内卖出
2013-07-31,0.8996,0.8996,-0.03%,场内买入,场内卖出
2013-08-01,0.9053,0.9053,0.63%,场内买入,场内卖出
2013-08-02,0.9065,0.9065,0.13%,场内买入,场内卖出
2013-08-05,0.905,0.905,-0.17%,场内买入,场内卖出
2013-08-06,0.8978,0.8978,-0.80%,场内买入,场内卖出
2013-08-07,0.8787,0.8787,-2.13%,场内买入,场内卖出
2013-08-08,0.8818,0.8818,0.35%,场内买入,场内卖出
