日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2004-12-30,1.0,1.0,%,场内买入,场内卖出
2004-12-31,0.996,0.996,-0.40%,场内买入,场内卖出
2005-01-07,0.981,0.981,-1.51%,场内买入,场内卖出
2005-01-14,0.983,0.983,0.20%,场内买入,场内卖出
2005-01-21,0.988,0.988,0.51%,场内买入,场内卖出
2005-01-28,0.976,0.976,-1.21%,场内买入,场内卖出
2005-02-04,0.873,0.873,5.89%,场内买入,场内卖出
2005-02-18,0.856,0.856,-1.95%,场内买入,场内卖出
2005-02-21,0.874,0.874,2.10%,场内买入,场内卖出
2005-02-22,0.887,0.887,1.49%,场内买入,场内卖出
2005-02-23,0.878,0.878,-1.01%,场内买入,场内卖出
2005-02-24,0.877,0.877,-0.11%,场内买入,场内卖出
2005-02-25,0.878,0.878,0.11%,场内买入,场内卖出
2005-02-28,0.869,0.869,-1.03%,场内买入,场内卖出
2005-03-01,0.866,0.866,-0.35%,场内买入,场内卖出
2005-03-02,0.856,0.856,-1.15%,场内买入,场内卖出
2005-03-03,0.862,0.862,0.70%,场内买入,场内卖出
2005-03-04,0.859,0.859,-0.35%,场内买入,场内卖出
2005-03-07,0.864,0.864,0.58%,场内买入,场内卖出
2005-03-08,0.876,0.876,1.39%,场内买入,场内卖出
2005-03-09,0.869,0.869,-0.80%,场内买入,场内卖出
2005-03-10,0.851,0.851,-2.07%,场内买入,场内卖出
2005-03-11,0.854,0.854,0.35%,场内买入,场内卖出
2005-03-14,0.857,0.857,0.35%,场内买入,场内卖出
2005-03-15,0.841,0.841,-1.87%,场内买入,场内卖出
2005-03-16,0.833,0.833,-0.95%,场内买入,场内卖出
2005-03-17,0.827,0.827,-0.72%,场内买入,场内卖出
2005-03-18,0.821,0.821,-0.73%,场内买入,场内卖出
2005-03-21,0.823,0.823,0.24%,场内买入,场内卖出
2005-03-22,0.808,0.808,-1.82%,场内买入,场内卖出
2005-03-23,0.802,0.802,-0.74%,场内买入,场内卖出
2005-03-24,0.808,0.808,0.75%,场内买入,场内卖出
2005-03-25,0.807,0.807,-0.12%,场内买入,场内卖出
2005-03-28,0.806,0.806,-0.12%,场内买入,场内卖出
2005-03-29,0.803,0.803,-0.37%,场内买入,场内卖出
2005-03-30,0.791,0.791,-1.49%,场内买入,场内卖出
2005-03-31,0.796,0.796,0.63%,场内买入,场内卖出
2005-04-01,0.823,0.823,3.39%,场内买入,场内卖出
2005-04-04,0.809,0.809,-1.70%,场内买入,场内卖出
2005-04-05,0.802,0.802,-0.87%,场内买入,场内卖出
2005-04-06,0.817,0.817,1.87%,场内买入,场内卖出
2005-04-07,0.825,0.825,0.98%,场内买入,场内卖出
2005-04-08,0.838,0.838,1.58%,场内买入,场内卖出
2005-04-11,0.831,0.831,-0.84%,场内买入,场内卖出
2005-04-12,0.819,0.819,-1.44%,场内买入,场内卖出
2005-04-13,0.836,0.836,2.08%,场内买入,场内卖出
2005-04-14,0.826,0.826,-1.20%,场内买入,场内卖出
2005-04-15,0.817,0.817,-1.09%,场内买入,场内卖出
2005-04-18,0.806,0.806,-1.35%,场内买入,场内卖出
2005-04-19,0.809,0.809,0.37%,场内买入,场内卖出
2005-04-20,0.799,0.799,-1.24%,场内买入,场内卖出
2005-04-21,0.794,0.794,-0.63%,场内买入,场内卖出
2005-04-22,0.795,0.795,0.13%,场内买入,场内卖出
2005-04-25,0.791,0.791,-0.50%,场内买入,场内卖出
2005-04-26,0.799,0.799,1.01%,场内买入,场内卖出
2005-04-27,0.785,0.785,-1.75%,场内买入,场内卖出
2005-04-28,0.795,0.795,1.27%,场内买入,场内卖出
2005-04-29,0.792,0.792,-0.38%,场内买入,场内卖出
2005-05-09,0.777,0.777,-1.89%,场内买入,场内卖出
2005-05-10,0.781,0.781,0.51%,场内买入,场内卖出
2005-05-11,0.773,0.773,-1.02%,场内买入,场内卖出
2005-05-12,0.756,0.756,-2.20%,场内买入,场内卖出
2005-05-13,0.759,0.759,0.40%,场内买入,场内卖出
