日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2017-07-18,1.0046,1.0046,%,场内买入,场内卖出
2017-07-19,1.0051,1.0051,0.05%,场内买入,场内卖出
2017-07-20,1.0053,1.0053,0.02%,场内买入,场内卖出
2017-07-21,1.0048,1.0048,-0.05%,场内买入,场内卖出
2017-07-24,1.0055,1.0055,0.07%,场内买入,场内卖出
2017-07-25,1.0067,1.0067,0.12%,场内买入,场内卖出
2017-07-26,1.0073,1.0073,0.06%,场内买入,场内卖出
2017-07-27,1.0069,1.0069,-0.04%,场内买入,场内卖出
2017-07-28,1.0077,1.0077,0.08%,场内买入,场内卖出
2017-07-31,1.0064,1.0064,-0.13%,场内买入,场内卖出
2017-08-01,1.0127,1.0127,0.63%,场内买入,场内卖出
2017-08-02,1.0184,1.0184,0.56%,场内买入,场内卖出
2017-08-03,1.0034,1.0034,-1.47%,场内买入,场内卖出
2017-08-04,0.9967,0.9967,-0.67%,场内买入,场内卖出
2017-08-07,0.9971,0.9971,0.04%,场内买入,场内卖出
2017-08-08,0.9948,0.9948,-0.23%,场内买入,场内卖出
2017-08-09,0.9794,0.9794,-1.55%,场内买入,场内卖出
2017-08-10,0.9761,0.9761,-0.34%,场内买入,场内卖出
2017-08-11,0.962,0.962,-1.44%,场内买入,场内卖出
2017-08-14,0.9604,0.9604,-0.17%,场内买入,场内卖出
2017-08-15,0.9733,0.9733,1.34%,场内买入,场内卖出
2017-08-16,0.9669,0.9669,-0.66%,场内买入,场内卖出
2017-08-17,0.9696,0.9696,0.28%,场内买入,场内卖出
2017-08-18,0.9706,0.9706,0.10%,场内买入,场内卖出
2017-08-21,0.9694,0.9694,-0.12%,场内买入,场内卖出
2017-08-22,0.9761,0.9761,0.69%,场内买入,场内卖出
2017-08-23,0.9906,0.9906,1.49%,场内买入,场内卖出
2017-08-24,0.99,0.99,-0.06%,场内买入,场内卖出
2017-08-25,1.0209,1.0209,3.12%,场内买入,场内卖出
2017-08-28,1.0225,1.0225,0.16%,场内买入,场内卖出
2017-08-29,1.0271,1.0271,0.45%,场内买入,场内卖出
2017-08-30,1.0184,1.0184,-0.85%,场内买入,场内卖出
2017-08-31,1.0076,1.0076,-1.06%,场内买入,场内卖出
2017-09-01,1.0012,1.0012,-0.64%,场内买入,场内卖出
2017-09-04,1.0103,1.0103,0.91%,场内买入,场内卖出
2017-09-05,1.0187,1.0187,0.83%,场内买入,场内卖出
2017-09-06,1.012,1.012,-0.66%,场内买入,场内卖出
2017-09-07,1.0031,1.0031,-0.88%,场内买入,场内卖出
2017-09-08,1.0032,1.0032,0.01%,场内买入,场内卖出
2017-09-11,1.0022,1.0022,-0.10%,场内买入,场内卖出
2017-09-12,1.0056,1.0056,0.34%,场内买入,场内卖出
2017-09-13,0.9993,0.9993,-0.63%,场内买入,场内卖出
2017-09-14,0.9925,0.9925,-0.68%,场内买入,场内卖出
2017-09-15,0.9895,0.9895,-0.30%,场内买入,场内卖出
2017-09-18,0.9873,0.9873,-0.22%,场内买入,场内卖出
2017-09-19,0.9896,0.9896,0.23%,场内买入,场内卖出
2017-09-20,0.9887,0.9887,-0.09%,场内买入,场内卖出
2017-09-21,0.9953,0.9953,0.67%,场内买入,场内卖出
2017-09-22,0.9955,0.9955,0.02%,场内买入,场内卖出
2017-09-25,0.9978,0.9978,0.23%,场内买入,场内卖出
2017-09-26,0.9942,0.9942,-0.36%,场内买入,场内卖出
2017-09-27,0.9866,0.9866,-0.76%,场内买入,场内卖出
2017-09-28,0.9846,0.9846,-0.20%,场内买入,场内卖出
2017-09-29,0.9873,0.9873,0.27%,场内买入,场内卖出
2017-10-09,0.997,0.997,0.98%,场内买入,场内卖出
2017-10-10,1.0034,1.0034,0.64%,场内买入,场内卖出
2017-10-11,1.005,1.005,0.16%,场内买入,场内卖出
2017-10-12,1.0045,1.0045,-0.05%,场内买入,场内卖出
2017-10-13,1.0005,1.0005,-0.40%,场内买入,场内卖出
2017-10-16,1.0105,1.0105,1.00%,场内买入,场内卖出
2017-10-17,1.007,1.007,-0.35%,场内买入,场内卖出
2017-10-18,1.0135,1.0135,0.65%,场内买入,场内卖出
2017-10-19,1.0138,1.0138,0.03%,场内买入,场内卖出
2017-10-20,1.0071,1.0071,-0.66%,场内买入,场内卖出
2017-10-23,0.9974,0.9974,-0.96%,场内买入,场内卖出
2017-10-24,1.0029,1.0029,0.55%,场内买入,场内卖出
2017-10-25,1.0012,1.0012,-0.17%,场内买入,场内卖出
2017-10-26,0.9926,0.9926,-0.86%,场内买入,场内卖出
2017-10-27,1.0103,1.0103,1.78%,场内买入,场内卖出
2017-10-30,1.0078,1.0078,-0.25%,场内买入,场内卖出
2017-10-31,0.9983,0.9983,-0.94%,场内买入,场内卖出
2017-11-01,0.992,0.992,-0.63%,场内买入,场内卖出
2017-11-02,0.9929,0.9929,0.09%,场内买入,场内卖出
2017-11-03,0.9929,0.9929,0.00%,场内买入,场内卖出
2017-11-06,0.9831,0.9831,-0.99%,场内买入,场内卖出
2017-11-07,0.9957,0.9957,1.28%,场内买入,场内卖出
2017-11-08,0.9989,0.9989,0.32%,场内买入,场内卖出
2017-11-09,0.9952,0.9952,-0.37%,场内买入,场内卖出
2017-11-10,0.9903,0.9903,-0.49%,场内买入,场内卖出
2017-11-13,1.0044,1.0044,1.42%,场内买入,场内卖出
2017-11-14,1.0013,1.0013,-0.31%,场内买入,场内卖出
2017-11-15,0.9993,0.9993,-0.20%,场内买入,场内卖出
2017-11-16,0.9935,0.9935,-0.58%,场内买入,场内卖出
2017-11-17,1.0214,1.0214,2.81%,场内买入,场内卖出
2017-11-20,1.0377,1.0377,1.60%,场内买入,场内卖出
2017-11-21,1.0419,1.0419,0.40%,场内买入,场内卖出
2017-11-22,1.0667,1.0667,2.38%,场内买入,场内卖出
2017-11-23,1.0517,1.0517,-1.41%,场内买入,场内卖出
2017-11-24,1.0544,1.0544,0.26%,场内买入,场内卖出
2017-11-27,1.0476,1.0476,-0.64%,场内买入,场内卖出
2017-11-28,1.0327,1.0327,-1.42%,场内买入,场内卖出
2017-11-29,1.0343,1.0343,0.15%,场内买入,场内卖出
2017-11-30,1.03,1.03,-0.42%,场内买入,场内卖出
2017-12-01,1.0234,1.0234,-0.64%,场内买入,场内卖出
2017-12-04,1.0253,1.0253,0.19%,场内买入,场内卖出
2017-12-05,1.0432,1.0432,1.75%,场内买入,场内卖出
2017-12-06,1.0321,1.0321,-1.06%,场内买入,场内卖出
2017-12-07,1.0227,1.0227,-0.91%,场内买入,场内卖出
2017-12-08,1.0213,1.0213,-0.14%,场内买入,场内卖出
2017-12-11,1.0248,1.0248,0.34%,场内买入,场内卖出
2017-12-12,1.0103,1.0103,-1.41%,场内买入,场内卖出
2017-12-13,1.015,1.015,0.47%,场内买入,场内卖出
2017-12-14,1.0108,1.0108,-0.41%,场内买入,场内卖出
2017-12-15,0.999,0.999,-1.17%,场内买入,场内卖出
2017-12-18,1.0019,1.0019,0.29%,场内买入,场内卖出
2017-12-19,1.0176,1.0176,1.57%,场内买入,场内卖出
2017-12-20,1.0171,1.0171,-0.05%,场内买入,场内卖出
2017-12-21,1.0189,1.0189,0.18%,场内买入,场内卖出
2017-12-22,1.0124,1.0124,-0.64%,场内买入,场内卖出
2017-12-25,1.0119,1.0119,-0.05%,场内买入,场内卖出
2017-12-26,1.0235,1.0235,1.15%,场内买入,场内卖出
2017-12-27,1.0119,1.0119,-1.13%,场内买入,场内卖出
2017-12-28,1.0094,1.0094,-0.25%,场内买入,场内卖出
2017-12-29,1.0166,1.0166,0.71%,场内买入,场内卖出
2017-12-31,1.0163,1.0163,%,场内买入,场内卖出
2018-01-02,1.0293,1.0293,1.25%,场内买入,场内卖出
2018-01-03,1.0319,1.0319,0.25%,场内买入,场内卖出
2018-01-04,1.0288,1.0288,-0.30%,场内买入,场内卖出
2018-01-05,1.032,1.032,0.31%,场内买入,场内卖出
2018-01-08,1.0286,1.0286,-0.33%,场内买入,场内卖出
2018-01-09,1.0288,1.0288,0.02%,场内买入,场内卖出
2018-01-10,1.0507,1.0507,2.13%,场内买入,场内卖出
2018-01-11,1.0549,1.0549,0.40%,场内买入,场内卖出
2018-01-12,1.0596,1.0596,0.45%,场内买入,场内卖出
2018-01-15,1.0758,1.0758,1.53%,场内买入,场内卖出
2018-01-16,1.0797,1.0797,0.36%,场内买入,场内卖出
2018-01-17,1.0911,1.0911,1.06%,场内买入,场内卖出
2018-01-18,1.1136,1.1136,2.06%,场内买入,场内卖出
2018-01-19,1.1245,1.1245,0.98%,场内买入,场内卖出
2018-01-22,1.1133,1.1133,-1.00%,场内买入,场内卖出
2018-01-23,1.1491,1.1491,3.22%,场内买入,场内卖出
2018-01-24,1.156,1.156,0.60%,场内买入,场内卖出
2018-01-25,1.1469,1.1469,-0.79%,场内买入,场内卖出
2018-01-26,1.149,1.149,0.18%,场内买入,场内卖出
2018-01-29,1.1426,1.1426,-0.56%,场内买入,场内卖出
2018-01-30,1.1217,1.1217,-1.83%,场内买入,场内卖出
2018-01-31,1.1409,1.1409,1.71%,场内买入,场内卖出
2018-02-01,1.1526,1.1526,1.03%,场内买入,场内卖出
2018-02-02,1.148,1.148,-0.40%,场内买入,场内卖出
2018-02-05,1.1871,1.1871,3.41%,场内买入,场内卖出
2018-02-06,1.1674,1.1674,-1.66%,场内买入,场内卖出
2018-02-07,1.1301,1.1301,-3.20%,场内买入,场内卖出
2018-02-08,1.0923,1.0923,-3.34%,场内买入,场内卖出
2018-02-09,1.0566,1.0566,-3.27%,场内买入,场内卖出
2018-02-12,1.0453,1.0453,-1.07%,场内买入,场内卖出
2018-02-13,1.0608,1.0608,1.48%,场内买入,场内卖出
2018-02-14,1.0633,1.0633,0.24%,场内买入,场内卖出
2018-02-22,1.0836,1.0836,1.91%,场内买入,场内卖出
2018-02-23,1.0927,1.0927,0.84%,场内买入,场内卖出
2018-02-26,1.0928,1.0928,0.01%,场内买入,场内卖出
2018-02-27,1.0706,1.0706,-2.03%,场内买入,场内卖出
2018-02-28,1.056,1.056,-1.36%,场内买入,场内卖出
2018-03-01,1.0585,1.0585,0.24%,场内买入,场内卖出
2018-03-02,1.0507,1.0507,-0.74%,场内买入,场内卖出
2018-03-05,1.0483,1.0483,-0.23%,场内买入,场内卖出
2018-03-06,1.0512,1.0512,0.28%,场内买入,场内卖出
2018-03-07,1.0568,1.0568,0.53%,场内买入,场内卖出
2018-03-08,1.0566,1.0566,-0.02%,场内买入,场内卖出
2018-03-09,1.0579,1.0579,0.12%,场内买入,场内卖出
2018-03-12,1.0532,1.0532,-0.44%,场内买入,场内卖出
2018-03-13,1.0534,1.0534,0.02%,场内买入,场内卖出
2018-03-14,1.0438,1.0438,-0.91%,场内买入,场内卖出
2018-03-15,1.0435,1.0435,-0.03%,场内买入,场内卖出
2018-03-16,1.033,1.033,-1.01%,场内买入,场内卖出
2018-03-19,1.0378,1.0378,0.46%,场内买入,场内卖出
2018-03-20,1.043,1.043,0.50%,场内买入,场内卖出
2018-03-21,1.0438,1.0438,0.08%,场内买入,场内卖出
2018-03-22,1.0387,1.0387,-0.49%,场内买入,场内卖出
2018-03-23,1.013,1.013,-2.47%,场内买入,场内卖出
2018-03-26,0.9886,0.9886,-2.41%,场内买入,场内卖出
2018-03-27,0.9867,0.9867,-0.19%,场内买入,场内卖出
2018-03-28,0.986,0.986,-0.07%,场内买入,场内卖出
2018-03-29,1.0007,1.0007,1.49%,场内买入,场内卖出
2018-03-30,0.9926,0.9926,-0.81%,场内买入,场内卖出
2018-04-02,0.9854,0.9854,-0.73%,场内买入,场内卖出
2018-04-03,0.9777,0.9777,-0.78%,场内买入,场内卖出
2018-04-04,0.9772,0.9772,-0.05%,场内买入,场内卖出
2018-04-09,0.9773,0.9773,0.01%,场内买入,场内卖出
2018-04-10,1.0064,1.0064,2.98%,场内买入,场内卖出
2018-04-11,1.0172,1.0172,1.07%,场内买入,场内卖出
2018-04-12,1.0021,1.0021,-1.48%,场内买入,场内卖出
2018-04-13,0.9949,0.9949,-0.72%,场内买入,场内卖出
2018-04-16,0.9669,0.9669,-2.81%,场内买入,场内卖出
2018-04-17,0.9624,0.9624,-0.47%,场内买入,场内卖出
2018-04-18,0.973,0.973,1.10%,场内买入,场内卖出
2018-04-19,0.976,0.976,0.31%,场内买入,场内卖出
2018-04-20,0.9684,0.9684,-0.78%,场内买入,场内卖出
2018-04-23,0.9715,0.9715,0.32%,场内买入,场内卖出
2018-04-24,0.9885,0.9885,1.75%,场内买入,场内卖出
2018-04-25,0.9784,0.9784,-1.02%,场内买入,场内卖出
2018-04-26,0.9737,0.9737,-0.48%,场内买入,场内卖出
2018-04-27,0.979,0.979,0.54%,场内买入,场内卖出
2018-05-02,0.9761,0.9761,-0.30%,场内买入,场内卖出
