FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHSP
2020-09-11,2.7163,2.3009,-0.09,场内买入,场内卖出,
2020-09-10,2.7187,2.3025,-0.71,场内买入,场内卖出,
2020-09-09,2.7382,2.3152,-0.85,场内买入,场内卖出,
2020-09-08,2.7618,2.3307,0.62,场内买入,场内卖出,
2020-09-07,2.7447,2.3195,-0.48,场内买入,场内卖出,
2020-09-04,2.7578,2.3281,-0.66,场内买入,场内卖出,
2020-09-03,2.7761,2.3401,-0.43,场内买入,场内卖出,
2020-09-02,2.7881,2.3479,-0.03,场内买入,场内卖出,
2020-09-01,2.7888,2.3484,0.06,场内买入,场内卖出,
2020-08-31,2.7870,2.3472,-0.64,场内买入,场内卖出,
2020-08-28,2.8050,2.3590,1.38,场内买入,场内卖出,
2020-08-27,2.7668,2.3340,0.32,场内买入,场内卖出,
2020-08-26,2.7581,2.3283,-1.65,场内买入,场内卖出,
2020-08-25,2.8043,2.3585,-0.37,场内买入,场内卖出,
2020-08-24,2.8146,2.3653,0.11,场内买入,场内卖出,
2020-08-21,2.8114,2.3632,0.00,场内买入,场内卖出,
2020-08-20,2.8114,2.3632,-0.60,场内买入,场内卖出,
2020-08-19,2.8283,2.3743,-0.58,场内买入,场内卖出,
2020-08-18,2.8447,2.3850,0.12,场内买入,场内卖出,
2020-08-17,2.8414,2.3829,2.24,场内买入,场内卖出,
2020-08-14,2.7791,2.3420,0.57,场内买入,场内卖出,
2020-08-13,2.7633,2.3317,0.77,场内买入,场内卖出,
2020-08-12,2.7422,2.3178,-0.27,场内买入,场内卖出,
2020-08-11,2.7497,2.3228,-0.82,场内买入,场内卖出,
2020-08-10,2.7723,2.3376,1.19,场内买入,场内卖出,
2020-08-07,2.7398,2.3163,-0.32,场内买入,场内卖出,
2020-08-06,2.7487,2.3221,0.54,场内买入,场内卖出,
2020-08-05,2.7340,2.3125,-0.45,场内买入,场内卖出,
2020-08-04,2.7464,2.3206,-0.14,场内买入,场内卖出,
2020-08-03,2.7502,2.3231,2.22,场内买入,场内卖出,
2020-07-31,2.6906,2.2840,0.90,场内买入,场内卖出,
2020-07-30,2.6665,2.2682,-0.14,场内买入,场内卖出,
2020-07-29,2.6702,2.2707,1.44,场内买入,场内卖出,
2020-07-28,2.6324,2.2459,0.74,场内买入,场内卖出,
2020-07-27,2.6130,2.2332,-0.20,场内买入,场内卖出,
2020-07-24,2.6182,2.2366,-3.25,场内买入,场内卖出,
2020-07-23,2.7061,2.2942,-1.23,场内买入,场内卖出,
2020-07-22,2.7399,2.3163,0.08,场内买入,场内卖出,
2020-07-21,2.7376,2.3148,-0.35,场内买入,场内卖出,
2020-07-20,2.7473,2.3212,4.04,场内买入,场内卖出,
2020-07-17,2.6405,2.2512,-0.12,场内买入,场内卖出,
2020-07-16,2.6436,2.2532,-2.30,场内买入,场内卖出,
