日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2013-02-06,1.0,1.0,%,场内买入,场内卖出
2013-02-08,1.0022,1.0022,%,场内买入,场内卖出
2013-02-22,0.9954,0.9954,-0.68%,场内买入,场内卖出
2013-03-01,1.0135,1.0135,1.82%,场内买入,场内卖出
2013-03-08,0.998,0.998,-1.53%,场内买入,场内卖出
2013-03-14,0.9682,0.9682,-2.99%,场内买入,场内卖出
2013-03-15,0.9699,0.9699,0.18%,场内买入,场内卖出
2013-03-18,0.9575,0.9575,-1.28%,场内买入,场内卖出
2013-03-19,0.9605,0.9605,0.31%,场内买入,场内卖出
2013-03-20,0.9851,0.9851,2.56%,场内买入,场内卖出
2013-03-21,0.9954,0.9954,1.05%,场内买入,场内卖出
2013-03-22,0.9995,0.9995,0.41%,场内买入,场内卖出
2013-03-25,0.9963,0.9963,-0.32%,场内买入,场内卖出
2013-03-26,0.9894,0.9894,-0.69%,场内买入,场内卖出
2013-03-27,0.9917,0.9917,0.23%,场内买入,场内卖出
2013-03-28,0.9631,0.9631,-2.88%,场内买入,场内卖出
2013-03-29,0.9626,0.9626,-0.05%,场内买入,场内卖出
2013-04-01,0.9691,0.9691,0.68%,场内买入,场内卖出
2013-04-02,0.9573,0.9573,-1.22%,场内买入,场内卖出
2013-04-03,0.9487,0.9487,-0.90%,场内买入,场内卖出
2013-04-08,0.9525,0.9525,0.40%,场内买入,场内卖出
2013-04-09,0.9618,0.9618,0.98%,场内买入,场内卖出
2013-04-10,0.9598,0.9598,-0.21%,场内买入,场内卖出
2013-04-11,0.9559,0.9559,-0.41%,场内买入,场内卖出
2013-04-12,0.9478,0.9478,-0.85%,场内买入,场内卖出
2013-04-15,0.9345,0.9345,-1.40%,场内买入,场内卖出
2013-04-16,0.9446,0.9446,1.08%,场内买入,场内卖出
2013-04-17,0.9529,0.9529,0.88%,场内买入,场内卖出
2013-04-18,0.9558,0.9558,0.30%,场内买入,场内卖出
2013-04-19,0.976,0.976,2.11%,场内买入,场内卖出
2013-04-22,0.9805,0.9805,0.46%,场内买入,场内卖出
2013-04-23,0.954,0.954,-2.70%,场内买入,场内卖出
2013-04-24,0.973,0.973,1.99%,场内买入,场内卖出
2013-04-25,0.9582,0.9582,-1.52%,场内买入,场内卖出
2013-04-26,0.9428,0.9428,-1.61%,场内买入,场内卖出
2013-05-02,0.9471,0.9471,0.46%,场内买入,场内卖出
2013-05-03,0.9656,0.9656,1.95%,场内买入,场内卖出
2013-05-06,0.9838,0.9838,1.88%,场内买入,场内卖出
2013-05-07,0.9859,0.9859,0.21%,场内买入,场内卖出
2013-05-08,0.9949,0.9949,0.91%,场内买入,场内卖出
2013-05-09,0.9955,0.9955,0.06%,场内买入,场内卖出
2013-05-10,1.0018,1.0018,0.63%,场内买入,场内卖出
2013-05-13,1.0056,1.0056,0.38%,场内买入,场内卖出
2013-05-14,0.9944,0.9944,-1.11%,场内买入,场内卖出
2013-05-15,1.0077,1.0077,1.34%,场内买入,场内卖出
2013-05-16,1.018,1.018,1.02%,场内买入,场内卖出
2013-05-17,1.0335,1.0335,1.52%,场内买入,场内卖出
2013-05-20,1.0462,1.0462,1.23%,场内买入,场内卖出
2013-05-21,1.0598,1.0598,1.30%,场内买入,场内卖出
2013-05-22,1.0516,1.0516,-0.77%,场内买入,场内卖出
2013-05-23,1.0428,1.0428,-0.84%,场内买入,场内卖出
2013-05-24,1.0591,1.0591,1.56%,场内买入,场内卖出
2013-05-27,1.0699,1.0699,1.02%,场内买入,场内卖出
2013-05-28,1.0721,1.0721,0.21%,场内买入,场内卖出
2013-05-29,1.0802,1.0802,0.76%,场内买入,场内卖出
2013-05-30,1.0829,1.0829,0.25%,场内买入,场内卖出
2013-05-31,1.0763,1.0763,-0.61%,场内买入,场内卖出
2013-06-03,1.0691,1.0691,-0.67%,场内买入,场内卖出
2013-06-04,1.0483,1.0483,-1.95%,场内买入,场内卖出
2013-06-05,1.0527,1.0527,0.42%,场内买入,场内卖出
2013-06-06,1.0344,1.0344,-1.74%,场内买入,场内卖出
2013-06-07,1.0142,1.0142,-1.95%,场内买入,场内卖出
2013-06-13,0.986,0.986,-2.78%,场内买入,场内卖出
2013-06-14,1.0057,1.0057,2.00%,场内买入,场内卖出
2013-06-17,1.0081,1.0081,0.24%,场内买入,场内卖出
2013-06-18,1.0119,1.0119,0.38%,场内买入,场内卖出
2013-06-19,1.0059,1.0059,-0.59%,场内买入,场内卖出
2013-06-20,0.9729,0.9729,-3.28%,场内买入,场内卖出
2013-06-21,0.968,0.968,-0.50%,场内买入,场内卖出
2013-06-24,0.9083,0.9083,-6.17%,场内买入,场内卖出
2013-06-25,0.9046,0.9046,-0.41%,场内买入,场内卖出
2013-06-26,0.9234,0.9234,2.08%,场内买入,场内卖出
2013-06-27,0.9086,0.9086,-1.60%,场内买入,场内卖出
2013-06-28,0.9095,0.9095,0.10%,场内买入,场内卖出
2013-06-30,0.9095,0.9095,0.00%,场内买入,场内卖出
2013-07-01,0.9266,0.9266,1.88%,场内买入,场内卖出
2013-07-02,0.9416,0.9416,1.62%,场内买入,场内卖出
2013-07-03,0.9431,0.9431,0.16%,场内买入,场内卖出
2013-07-04,0.9506,0.9506,0.80%,场内买入,场内卖出
2013-07-05,0.9454,0.9454,-0.55%,场内买入,场内卖出
2013-07-08,0.9089,0.9089,-3.86%,场内买入,场内卖出
2013-07-09,0.9143,0.9143,0.59%,场内买入,场内卖出
2013-07-10,0.9429,0.9429,3.13%,场内买入,场内卖出
2013-07-11,0.9694,0.9694,2.81%,场内买入,场内卖出
2013-07-12,0.9609,0.9609,-0.88%,场内买入,场内卖出
