日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2006-11-17,1.0,1.0,%,场内买入,场内卖出
2006-11-22,1.004,1.004,0.40%,场内买入,场内卖出
2006-11-29,1.016,1.016,1.20%,场内买入,场内卖出
2006-12-06,1.057,1.057,4.04%,场内买入,场内卖出
2006-12-13,1.099,1.099,3.97%,场内买入,场内卖出
2006-12-20,1.135,1.135,3.28%,场内买入,场内卖出
2006-12-27,1.161,1.161,2.29%,场内买入,场内卖出
2006-12-29,1.193,1.193,2.76%,场内买入,场内卖出
2006-12-31,1.193,1.193,0.00%,场内买入,场内卖出
2007-01-04,1.193,1.193,0.00%,场内买入,场内卖出
2007-01-05,1.245,1.245,4.36%,场内买入,场内卖出
2007-01-10,2.075,1.36,9.21%,场内买入,场内卖出
2007-01-11,2.018,1.322,-2.75%,场内买入,场内卖出
2007-01-12,1.923,1.26,-4.71%,场内买入,场内卖出
2007-01-15,2.019,1.323,4.99%,场内买入,场内卖出
2007-01-16,2.048,1.342,1.44%,场内买入,场内卖出
2007-01-17,2.027,1.328,-1.03%,场内买入,场内卖出
2007-01-18,2.0,1.311,-1.33%,场内买入,场内卖出
2007-01-19,2.045,1.34,2.25%,场内买入,场内卖出
2007-01-22,2.113,1.385,3.33%,场内买入,场内卖出
2007-01-23,2.168,1.421,2.60%,场内买入,场内卖出
2007-01-24,2.235,1.465,3.09%,场内买入,场内卖出
2007-01-25,2.138,1.401,-4.34%,场内买入,场内卖出
2007-01-26,2.185,1.432,2.20%,场内买入,场内卖出
2007-01-29,2.258,1.48,3.34%,场内买入,场内卖出
2007-01-30,2.273,1.489,0.66%,场内买入,场内卖出
2007-01-31,2.117,1.387,-6.86%,场内买入,场内卖出
2007-02-01,2.095,1.373,-1.04%,场内买入,场内卖出
2007-02-02,2.001,1.311,-4.49%,场内买入,场内卖出
2007-02-05,1.963,1.286,-1.90%,场内买入,场内卖出
2007-02-06,1.993,1.306,1.53%,场内买入,场内卖出
2007-02-07,2.043,1.339,2.51%,场内买入,场内卖出
2007-02-08,2.077,1.361,1.66%,场内买入,场内卖出
2007-02-09,2.037,1.335,-1.93%,场内买入,场内卖出
2007-02-12,2.121,1.39,4.12%,场内买入,场内卖出
2007-02-13,2.15,1.409,1.37%,场内买入,场内卖出
2007-02-14,2.21,1.448,2.79%,场内买入,场内卖出
2007-02-15,2.299,1.506,4.03%,场内买入,场内卖出
2007-02-16,2.326,1.524,1.17%,场内买入,场内卖出
2007-02-26,2.437,1.597,4.77%,场内买入,场内卖出
2007-02-27,2.208,1.447,-9.40%,场内买入,场内卖出
2007-02-28,2.315,1.517,4.85%,场内买入,场内卖出
2007-03-01,2.257,1.479,-2.51%,场内买入,场内卖出
2007-03-02,2.277,1.492,0.89%,场内买入,场内卖出
2007-03-05,2.24,1.468,-1.62%,场内买入,场内卖出
2007-03-06,2.261,1.482,0.94%,场内买入,场内卖出
2007-03-07,2.315,1.517,2.39%,场内买入,场内卖出
2007-03-08,2.327,1.525,0.52%,场内买入,场内卖出
2007-03-09,2.323,1.522,-0.17%,场内买入,场内卖出
2007-03-12,2.339,1.533,0.69%,场内买入,场内卖出
2007-03-13,2.35,1.54,0.47%,场内买入,场内卖出
2007-03-14,2.286,1.498,-2.72%,场内买入,场内卖出
2007-03-15,2.339,1.533,2.32%,场内买入,场内卖出
2007-03-16,2.278,1.493,-2.61%,场内买入,场内卖出
2007-03-19,2.321,1.521,1.89%,场内买入,场内卖出
2007-03-20,2.341,1.534,0.86%,场内买入,场内卖出
2007-03-21,2.37,1.553,1.24%,场内买入,场内卖出
2007-03-22,2.391,1.567,0.89%,场内买入,场内卖出
2007-03-23,2.4,1.573,0.38%,场内买入,场内卖出
2007-03-26,2.457,1.61,2.38%,场内买入,场内卖出
2007-03-27,2.47,1.619,0.53%,场内买入,场内卖出
2007-03-28,2.494,1.634,0.97%,场内买入,场内卖出
2007-03-29,2.467,1.617,-1.08%,场内买入,场内卖出
2007-03-30,2.481,1.626,0.57%,场内买入,场内卖出
2007-03-31,2.481,1.626,0.00%,场内买入,场内卖出
2007-04-02,2.562,1.679,3.26%,场内买入,场内卖出
2007-04-03,2.591,1.698,1.13%,场内买入,场内卖出
2007-04-04,2.598,1.702,0.27%,场内买入,场内卖出
2007-04-05,2.622,1.718,0.92%,场内买入,场内卖出
2007-04-06,2.647,1.735,0.95%,场内买入,场内卖出
2007-04-09,2.724,1.785,2.91%,场内买入,场内卖出
2007-04-10,2.78,1.822,2.06%,场内买入,场内卖出
2007-04-11,2.821,1.849,1.47%,场内买入,场内卖出
2007-04-12,2.85,1.868,1.03%,场内买入,场内卖出
2007-04-13,2.833,1.856,-0.60%,场内买入,场内卖出
2007-04-16,2.894,1.896,2.15%,场内买入,场内卖出
2007-04-17,2.944,1.929,1.73%,场内买入,场内卖出
2007-04-18,2.969,1.946,0.85%,场内买入,场内卖出
2007-04-19,2.806,1.839,-5.49%,场内买入,场内卖出
2007-04-20,2.933,1.922,4.53%,场内买入,场内卖出
2007-04-23,3.105,2.035,5.86%,场内买入,场内卖出
2007-04-24,3.162,2.072,1.84%,场内买入,场内卖出
2007-04-25,3.156,2.068,-0.19%,场内买入,场内卖出
2007-04-26,3.196,2.094,1.27%,场内买入,场内卖出
2007-04-27,3.183,2.086,-0.41%,场内买入,场内卖出
2007-04-30,3.229,2.116,1.45%,场内买入,场内卖出
2007-05-08,3.39,2.221,4.99%,场内买入,场内卖出
2007-05-09,3.405,2.231,0.44%,场内买入,场内卖出
2007-05-10,3.456,2.265,1.50%,场内买入,场内卖出
2007-05-11,3.423,2.243,-0.95%,场内买入,场内卖出
2007-05-14,3.461,2.268,1.11%,场内买入,场内卖出
2007-05-15,3.321,2.176,-4.05%,场内买入,场内卖出
2007-05-16,3.397,2.226,2.29%,场内买入,场内卖出
2007-05-17,3.46,2.267,1.85%,场内买入,场内卖出
2007-05-18,3.454,2.263,-0.17%,场内买入,场内卖出
2007-05-21,3.495,2.29,1.19%,场内买入,场内卖出
2007-05-22,3.539,2.319,1.26%,场内买入,场内卖出
2007-05-23,3.628,2.377,2.51%,场内买入,场内卖出
2007-05-24,3.581,2.347,-1.30%,场内买入,场内卖出
2007-05-25,3.603,2.361,0.61%,场内买入,场内卖出
2007-05-28,3.687,2.416,2.33%,场内买入,场内卖出
2007-05-29,3.777,2.475,2.44%,场内买入,场内卖出
2007-05-30,3.514,2.303,-6.96%,场内买入,场内卖出
2007-05-31,3.545,2.323,0.88%,场内买入,场内卖出
2007-06-01,3.379,2.214,-4.68%,场内买入,场内卖出
2007-06-04,3.092,2.026,-8.49%,场内买入,场内卖出
2007-06-05,3.219,2.109,4.11%,场内买入,场内卖出
2007-06-06,3.226,2.114,0.22%,场内买入,场内卖出
2007-06-07,3.344,2.191,3.66%,场内买入,场内卖出
2007-06-08,3.348,2.194,0.12%,场内买入,场内卖出
2007-06-11,3.406,2.232,1.73%,场内买入,场内卖出
2007-06-12,3.55,2.326,4.23%,场内买入,场内卖出
2007-06-13,3.62,2.372,1.97%,场内买入,场内卖出
2007-06-14,3.541,2.32,-2.18%,场内买入,场内卖出
2007-06-15,3.539,2.319,-0.06%,场内买入,场内卖出
2007-06-18,3.634,2.381,2.68%,场内买入,场内卖出
2007-06-19,3.671,2.406,1.02%,场内买入,场内卖出
2007-06-20,3.593,2.354,-2.12%,场内买入,场内卖出
2007-06-21,3.628,2.377,0.97%,场内买入,场内卖出
2007-06-22,3.491,2.288,-3.78%,场内买入,场内卖出
2007-06-25,3.303,2.164,-5.39%,场内买入,场内卖出
2007-06-26,3.366,2.206,1.91%,场内买入,场内卖出
2007-06-27,3.449,2.26,2.47%,场内买入,场内卖出
2007-06-28,3.277,2.147,-4.99%,场内买入,场内卖出
2007-06-29,3.175,2.081,-3.11%,场内买入,场内卖出
2007-06-30,3.175,2.081,0.00%,场内买入,场内卖出
2007-07-02,3.22,2.11,1.42%,场内买入,场内卖出
2007-07-03,3.264,2.139,1.37%,场内买入,场内卖出
2007-07-04,3.205,2.1,-1.81%,场内买入,场内卖出
2007-07-05,2.998,1.965,-6.46%,场内买入,场内卖出
2007-07-06,3.148,2.063,5.00%,场内买入,场内卖出
2007-07-09,3.237,2.121,2.83%,场内买入,场内卖出
2007-07-10,3.166,2.075,-2.19%,场内买入,场内卖出
2007-07-11,3.199,2.096,1.04%,场内买入,场内卖出
2007-07-12,3.22,2.11,0.66%,场内买入,场内卖出
2007-07-13,3.216,2.107,-0.12%,场内买入,场内卖出
2007-07-16,3.108,2.037,-3.36%,场内买入,场内卖出
2007-07-17,3.169,2.077,1.96%,场内买入,场内卖出
2007-07-18,3.199,2.096,0.95%,场内买入,场内卖出
2007-07-19,3.162,2.072,-1.16%,场内买入,场内卖出
2007-07-20,3.284,2.152,3.86%,场内买入,场内卖出
2007-07-23,3.484,2.283,6.09%,场内买入,场内卖出
2007-07-24,3.493,2.289,0.26%,场内买入,场内卖出
2007-07-25,3.601,2.36,3.09%,场内买入,场内卖出
2007-07-26,3.627,2.377,0.72%,场内买入,场内卖出
2007-07-27,3.668,2.404,1.13%,场内买入,场内卖出
2007-07-30,3.775,2.474,2.92%,场内买入,场内卖出
2007-07-31,3.807,2.495,0.85%,场内买入,场内卖出
2007-08-01,3.663,2.4,-3.78%,场内买入,场内卖出
2007-08-02,3.784,2.48,3.30%,场内买入,场内卖出
2007-08-03,3.854,2.525,1.85%,场内买入,场内卖出
2007-08-06,3.976,2.605,3.17%,场内买入,场内卖出
2007-08-07,4.009,2.627,0.83%,场内买入,场内卖出
2007-08-08,3.928,2.574,-2.02%,场内买入,场内卖出
2007-08-09,4.01,2.628,2.09%,场内买入,场内卖出
2007-08-10,3.978,2.607,-0.80%,场内买入,场内卖出
2007-08-13,3.998,2.62,0.50%,场内买入,场内卖出
2007-08-14,4.039,2.647,1.03%,场内买入,场内卖出
2007-08-15,4.06,2.66,0.52%,场内买入,场内卖出
2007-08-16,3.988,2.613,-1.77%,场内买入,场内卖出
2007-08-17,3.921,2.569,-1.68%,场内买入,场内卖出
2007-08-20,4.175,2.736,6.48%,场内买入,场内卖出
2007-08-21,4.218,2.764,1.03%,场内买入,场内卖出
2007-08-22,4.234,2.774,0.38%,场内买入,场内卖出
2007-08-23,4.285,2.808,1.20%,场内买入,场内卖出
2007-08-24,4.409,2.889,2.89%,场内买入,场内卖出
2007-08-27,4.469,2.928,1.36%,场内买入,场内卖出
2007-08-28,4.473,2.931,0.09%,场内买入,场内卖出
2007-08-29,4.383,2.872,-2.01%,场内买入,场内卖出
2007-08-30,4.454,2.919,1.62%,场内买入,场内卖出
2007-08-31,4.537,2.973,1.86%,场内买入,场内卖出
2007-09-03,4.717,3.091,3.97%,场内买入,场内卖出
2007-09-04,4.684,3.069,-0.70%,场内买入,场内卖出
2007-09-05,4.703,3.082,0.41%,场内买入,场内卖出
2007-09-06,4.798,3.144,2.02%,场内买入,场内卖出
2007-09-07,4.74,3.106,-1.21%,场内买入,场内卖出
2007-09-10,4.826,3.162,1.81%,场内买入,场内卖出
2007-09-11,4.57,2.995,-5.30%,场内买入,场内卖出
2007-09-12,4.642,3.042,1.58%,场内买入,场内卖出
2007-09-13,4.824,3.161,3.92%,场内买入,场内卖出
2007-09-14,4.95,3.244,2.61%,场内买入,场内卖出
2007-09-17,5.093,3.337,2.89%,场内买入,场内卖出
2007-09-18,5.036,3.3,-1.12%,场内买入,场内卖出
2007-09-19,4.972,3.258,-1.27%,场内买入,场内卖出
2007-09-20,4.988,3.269,0.32%,场内买入,场内卖出
2007-09-21,4.878,3.196,-2.21%,场内买入,场内卖出
2007-09-24,4.936,3.234,1.19%,场内买入,场内卖出
2007-09-25,4.845,3.175,-1.84%,场内买入,场内卖出
2007-09-26,4.721,3.094,-2.56%,场内买入,场内卖出
2007-09-27,4.764,3.122,0.91%,场内买入,场内卖出
2007-09-28,4.873,3.193,2.29%,场内买入,场内卖出
2007-09-30,4.873,3.193,0.00%,场内买入,场内卖出
2007-10-08,4.848,3.177,-0.51%,场内买入,场内卖出
2007-10-09,4.886,3.202,0.78%,场内买入,场内卖出
2007-10-10,4.932,3.232,0.94%,场内买入,场内卖出
2007-10-11,4.946,3.241,0.28%,场内买入,场内卖出
2007-10-12,4.96,3.25,0.28%,场内买入,场内卖出
2007-10-15,5.204,3.41,4.92%,场内买入,场内卖出
2007-10-16,5.15,3.375,-1.04%,场内买入,场内卖出
2007-10-17,5.173,3.39,0.45%,场内买入,场内卖出
2007-10-18,4.947,3.242,-4.37%,场内买入,场内卖出
2007-10-19,4.913,3.219,-0.69%,场内买入,场内卖出
2007-10-22,4.697,3.078,-4.40%,场内买入,场内卖出
2007-10-23,4.772,3.127,1.60%,场内买入,场内卖出
2007-10-24,4.899,3.21,2.66%,场内买入,场内卖出
2007-10-25,4.579,3.001,-6.53%,场内买入,场内卖出
2007-10-26,4.668,3.059,1.94%,场内买入,场内卖出
2007-10-29,4.774,3.128,2.27%,场内买入,场内卖出
2007-10-30,4.877,3.196,2.16%,场内买入,场内卖出
2007-10-31,4.915,3.221,0.78%,场内买入,场内卖出
2007-11-01,4.934,3.233,0.39%,场内买入,场内卖出
2007-11-02,4.851,3.179,-1.68%,场内买入,场内卖出
2007-11-05,4.701,3.08,-3.09%,场内买入,场内卖出
2007-11-06,4.541,2.976,-3.40%,场内买入,场内卖出
2007-11-07,4.551,2.982,0.22%,场内买入,场内卖出
2007-11-08,4.306,2.822,-5.38%,场内买入,场内卖出
2007-11-09,4.31,2.824,0.09%,场内买入,场内卖出
2007-11-12,4.203,2.754,-2.48%,场内买入,场内卖出
2007-11-13,4.259,2.791,1.33%,场内买入,场内卖出
2007-11-14,4.431,2.904,4.04%,场内买入,场内卖出
2007-11-15,4.362,2.858,-1.56%,场内买入,场内卖出
2007-11-16,4.311,2.825,-1.17%,场内买入,场内卖出
2007-11-19,4.331,2.838,0.46%,场内买入,场内卖出
2007-11-20,4.4,2.883,1.59%,场内买入,场内卖出
2007-11-21,4.324,2.833,-1.73%,场内买入,场内卖出
